SID,Date,category,name,value,item,tdif,delta_value
882,2015-12-05T04:11:00Z,pers,A,0,rude,15.233333333333333,0
882,2015-12-05T19:25:00Z,pers,A,0,rude,1.9333333333333333,0
882,2015-12-05T21:21:00Z,pers,A,0,rude,21.216666666666665,0
882,2015-12-07T21:26:00Z,pers,A,0,rude,2.6166666666666667,0
882,2015-12-08T00:03:00Z,pers,A,0,rude,4.4,0
882,2015-12-08T04:27:00Z,pers,A,0,rude,14.416666666666666,0
882,2015-12-08T18:52:00Z,pers,A,0,rude,5.366666666666666,0
882,2015-12-09T00:14:00Z,pers,A,0,rude,17.783333333333335,0.14058106841611995
882,2015-12-09T18:01:00Z,pers,A,2.5,rude,3.066666666666667,0
882,2015-12-09T21:05:00Z,pers,A,2.5,rude,3.216666666666667,0
882,2015-12-10T00:18:00Z,pers,A,2.5,rude,4.45,0.5617977528089887
882,2015-12-10T04:45:00Z,pers,A,5,rude,16.333333333333332,-0.15306122448979592
882,2015-12-10T21:05:00Z,pers,A,2.5,rude,2.9166666666666665,-0.8571428571428572
882,2015-12-11T00:00:00Z,pers,A,0,rude,3.3333333333333335,0.75
882,2015-12-11T03:20:00Z,pers,A,2.5,rude,17.866666666666667,0
882,2015-12-11T21:12:00Z,pers,A,2.5,rude,5.9,-0.423728813559322
882,2015-12-12T03:06:00Z,pers,A,0,rude,21.866666666666667,0
882,2015-12-13T00:58:00Z,pers,A,0,rude,3.0166666666666666,0
882,2015-12-13T03:59:00Z,pers,A,0,rude,15.733333333333333,0
882,2015-12-13T19:43:00Z,pers,A,0,rude,22.45,0
882,2015-12-14T18:10:00Z,pers,A,0,rude,7.55,0.33112582781456956
882,2015-12-17T03:05:00Z,pers,A,0,rude,15.55,0.1607717041800643
882,2015-12-17T18:38:00Z,pers,A,2.5,rude,8.6,-0.29069767441860467
882,2015-12-19T18:38:00Z,pers,A,0,rude,5.5,0
882,2015-12-20T00:08:00Z,pers,A,0,rude,3.783333333333333,0
882,2015-12-20T03:55:00Z,pers,A,0,rude,23.116666666666667,0.10814708002883922
882,2015-12-21T03:02:00Z,pers,A,2.5,rude,18.65,0
882,2015-12-21T21:41:00Z,pers,A,2.5,rude,5.416666666666667,0
882,2015-12-22T03:06:00Z,pers,A,2.5,rude,15.633333333333333,-0.15991471215351813
882,2015-12-22T18:44:00Z,pers,A,0,rude,8.283333333333333,0
882,2015-12-24T04:07:00Z,pers,A,2.5,rude,14.133333333333333,-0.1768867924528302
882,2015-12-24T18:15:00Z,pers,A,0,rude,23.75,0
882,2015-12-25T18:00:00Z,pers,A,0,rude,6.1,0
882,2015-12-26T00:06:00Z,pers,A,0,rude,18.45,0.13550135501355015
882,2015-12-26T18:33:00Z,pers,A,2.5,rude,5.95,-0.42016806722689076
882,2015-12-27T00:30:00Z,pers,A,0,rude,3.6166666666666667,0.6912442396313364
882,2015-12-27T04:07:00Z,pers,A,2.5,rude,16.95,0
882,2015-12-27T21:04:00Z,pers,A,2.5,rude,23.966666666666665,0
882,2015-12-30T03:57:00Z,pers,A,0,rude,14.066666666666666,0.17772511848341233
882,2015-12-30T18:01:00Z,pers,A,2.5,rude,9.983333333333333,-0.25041736227045075
882,2015-12-31T04:00:00Z,pers,A,0,rude,NA,NA
882,2015-11-13T18:29:00Z,pers,C,6.25,C,10.266666666666667,-0.36525974025974023
