study SID p_name p_item s_name done
02-ipcs 05 E E Deception NA
02-ipcs 05 E E Duty NA
02-ipcs 05 E E Intellect NA
02-ipcs 05 E E Mating NA
02-ipcs 05 E E Negativity NA
02-ipcs 05 E E pOsitivity NA
02-ipcs 05 E E Sociability NA
02-ipcs 05 E EnerLev Adversity NA
02-ipcs 05 E EnerLev Deception NA
02-ipcs 05 E EnerLev Duty NA
02-ipcs 05 E EnerLev Intellect NA
02-ipcs 05 E EnerLev Mating NA
02-ipcs 05 E EnerLev Negativity NA
02-ipcs 05 E EnerLev pOsitivity NA
02-ipcs 05 E EnerLev Sociability NA
02-ipcs 05 E Scblty Adversity NA
02-ipcs 05 E Scblty Deception NA
02-ipcs 05 E Scblty Duty NA
02-ipcs 05 E Scblty Intellect NA
02-ipcs 05 E Scblty Mating NA
02-ipcs 05 E Scblty Negativity NA
02-ipcs 05 E Scblty pOsitivity NA
02-ipcs 05 E Scblty Sociability NA
02-ipcs 05 N Anxty Adversity NA
02-ipcs 05 N Anxty Deception NA
02-ipcs 05 N Anxty Duty NA
02-ipcs 05 N Anxty Intellect NA
02-ipcs 05 N Anxty Mating NA
02-ipcs 05 N Anxty Negativity NA
02-ipcs 05 N Anxty pOsitivity NA
02-ipcs 05 N Anxty Sociability NA
02-ipcs 05 N Depr Adversity NA
02-ipcs 05 N Depr Deception NA
02-ipcs 05 N Depr Duty NA
02-ipcs 05 N Depr Intellect NA
02-ipcs 05 N Depr Mating NA
02-ipcs 05 N Depr Negativity NA
02-ipcs 05 N Depr pOsitivity NA
02-ipcs 05 N Depr Sociability NA
02-ipcs 05 N EmoVol Adversity NA
02-ipcs 05 N EmoVol Deception NA
02-ipcs 05 N EmoVol Duty NA
02-ipcs 05 N EmoVol Intellect NA
02-ipcs 05 N EmoVol Mating NA
02-ipcs 05 N EmoVol Negativity NA
02-ipcs 05 N EmoVol pOsitivity NA
02-ipcs 05 N EmoVol Sociability NA
02-ipcs 05 N N Adversity NA
02-ipcs 05 N N Deception NA
02-ipcs 05 N N Duty NA
02-ipcs 05 N N Intellect NA
02-ipcs 05 N N Mating NA
02-ipcs 05 N N Negativity NA
02-ipcs 05 N N pOsitivity NA
02-ipcs 05 N N Sociability NA
02-ipcs 05 O AesSens Adversity NA
02-ipcs 05 O AesSens Deception NA
02-ipcs 05 O AesSens Duty NA
02-ipcs 05 O AesSens Intellect NA
02-ipcs 05 O AesSens Mating NA
02-ipcs 05 O AesSens Negativity NA
02-ipcs 05 O AesSens pOsitivity NA
02-ipcs 05 O AesSens Sociability NA
02-ipcs 05 O CrtvImag Adversity NA
02-ipcs 05 O CrtvImag Deception NA
02-ipcs 05 O CrtvImag Duty NA
02-ipcs 05 O CrtvImag Intellect NA
02-ipcs 05 O CrtvImag Mating NA
02-ipcs 05 O CrtvImag Negativity NA
02-ipcs 05 O CrtvImag pOsitivity NA
02-ipcs 05 O CrtvImag Sociability NA
02-ipcs 05 O IntCur Adversity NA
02-ipcs 05 O IntCur Deception NA
02-ipcs 05 O IntCur Duty NA
02-ipcs 05 O IntCur Intellect NA
02-ipcs 05 O IntCur Mating NA
02-ipcs 05 O IntCur Negativity NA
02-ipcs 05 O IntCur pOsitivity NA
02-ipcs 05 O IntCur Sociability NA
02-ipcs 05 O O Adversity NA
02-ipcs 05 O O Deception NA
02-ipcs 05 O O Duty NA
02-ipcs 05 O O Intellect NA
02-ipcs 05 O O Mating NA
02-ipcs 05 O O Negativity NA
02-ipcs 05 O O pOsitivity NA
02-ipcs 05 O O Sociability NA
02-ipcs 06 A A Adversity NA
02-ipcs 06 A A Deception NA
02-ipcs 06 A A Duty NA
02-ipcs 06 A A Intellect NA
02-ipcs 06 A A Mating NA
02-ipcs 06 A A Negativity NA
02-ipcs 06 A A pOsitivity NA
02-ipcs 06 A A Sociability NA
02-ipcs 06 A Cmpn Adversity NA
02-ipcs 06 A Cmpn Deception NA
02-ipcs 06 A Cmpn Duty NA
02-ipcs 06 A Cmpn Intellect NA
02-ipcs 06 A Cmpn Mating NA
02-ipcs 06 A Cmpn Negativity NA
02-ipcs 06 A Cmpn pOsitivity NA
02-ipcs 06 A Cmpn Sociability NA
02-ipcs 06 A Rspct Adversity NA
02-ipcs 06 A Rspct Deception NA
02-ipcs 06 A Rspct Duty NA
02-ipcs 06 A Rspct Intellect NA
02-ipcs 06 A Rspct Mating NA
02-ipcs 06 A Rspct Negativity NA
02-ipcs 06 A Rspct pOsitivity NA
02-ipcs 06 A Rspct Sociability NA
02-ipcs 06 A Trust Adversity NA
02-ipcs 06 A Trust Deception NA
02-ipcs 06 A Trust Duty NA
02-ipcs 06 A Trust Intellect NA
02-ipcs 06 A Trust Mating NA
02-ipcs 06 A Trust Negativity NA
02-ipcs 06 A Trust pOsitivity NA
02-ipcs 06 A Trust Sociability NA
02-ipcs 06 C C Adversity NA
02-ipcs 06 C C Deception NA
